,+10_position,+10_word,+1_position,+1_word,+2_position,+2_word,+3_position,+3_word,+4_position,+4_word,+5_position,+5_word,+6_position,+6_word,+7_position,+7_word,+8_position,+8_word,+9_position,+9_word,-10_position,-10_word,-1_position,-1_word,-2_position,-2_word,-3_position,-3_word,-4_position,-4_word,-5_position,-5_word,-6_position,-6_word,-7_position,-7_word,-8_position,-8_word,-9_position,-9_word,agent_word,classification,patient_word,relation_position,relation_word
100,-999,,78,University,80,specialising,82,economics,84,Since,89,held,91,posts,94,Finance,95,Ministry,-999,,57,Zinaida,76,Moldovan,73,College,72,Economic,70,Financial,69,based,67,Chisinau,64,graduated,60,born,58,Greceanii,Vladimir_Voronin,False,Zinaida_Greceanîi,77,State
101,-999,,80,specialising,82,economics,84,Since,89,held,91,posts,94,Finance,95,Ministry,-999,,-999,,58,Greceanii,77,State,76,Moldovan,73,College,72,Economic,70,Financial,69,based,67,Chisinau,64,graduated,60,born,Vladimir_Voronin,False,Zinaida_Greceanîi,78,University
102,-999,,82,economics,84,Since,89,held,91,posts,94,Finance,95,Ministry,-999,,-999,,-999,,60,born,78,University,77,State,76,Moldovan,73,College,72,Economic,70,Financial,69,based,67,Chisinau,64,graduated,Vladimir_Voronin,False,Zinaida_Greceanîi,80,specialising
103,-999,,84,Since,89,held,91,posts,94,Finance,95,Ministry,-999,,-999,,-999,,-999,,64,graduated,80,specialising,78,University,77,State,76,Moldovan,73,College,72,Economic,70,Financial,69,based,67,Chisinau,Vladimir_Voronin,False,Zinaida_Greceanîi,82,economics
104,106,head,89,held,91,posts,94,Finance,95,Ministry,97,Ms,98,Greceanii,99,began,102,office,105,deputy,67,Chisinau,82,economics,80,specialising,78,University,77,State,76,Moldovan,73,College,72,Economic,70,Financial,69,based,Vladimir_Voronin,False,Zinaida_Greceanîi,84,Since
105,109,budget,91,posts,94,Finance,95,Ministry,97,Ms,98,Greceanii,99,began,102,office,105,deputy,106,head,69,based,84,Since,82,economics,80,specialising,78,University,77,State,76,Moldovan,73,College,72,Economic,70,Financial,Vladimir_Voronin,False,Zinaida_Greceanîi,89,held
106,111,elaboration,94,Finance,95,Ministry,97,Ms,98,Greceanii,99,began,102,office,105,deputy,106,head,109,budget,70,Financial,89,held,84,Since,82,economics,80,specialising,78,University,77,State,76,Moldovan,73,College,72,Economic,Vladimir_Voronin,False,Zinaida_Greceanîi,91,posts
107,113,analysis,95,Ministry,97,Ms,98,Greceanii,99,began,102,office,105,deputy,106,head,109,budget,111,elaboration,72,Economic,91,posts,89,held,84,Since,82,economics,80,specialising,78,University,77,State,76,Moldovan,73,College,Vladimir_Voronin,False,Zinaida_Greceanîi,94,Finance
108,114,general,97,Ms,98,Greceanii,99,began,102,office,105,deputy,106,head,109,budget,111,elaboration,113,analysis,73,College,94,Finance,91,posts,89,held,84,Since,82,economics,80,specialising,78,University,77,State,76,Moldovan,Vladimir_Voronin,False,Zinaida_Greceanîi,95,Ministry
109,115,directorate,98,Greceanii,99,began,102,office,105,deputy,106,head,109,budget,111,elaboration,113,analysis,114,general,-999,,95,Ministry,94,Finance,91,posts,89,held,84,Since,-999,,-999,,-999,,-999,,Vladimir_Voronin,False,Zinaida_Greceanîi,97,Ms
110,117,She,99,began,102,office,105,deputy,106,head,109,budget,111,elaboration,113,analysis,114,general,115,directorate,-999,,97,Ms,95,Ministry,94,Finance,91,posts,89,held,84,Since,-999,,-999,,-999,,Vladimir_Voronin,False,Zinaida_Greceanîi,98,Greceanii
111,120,department,102,office,105,deputy,106,head,109,budget,111,elaboration,113,analysis,114,general,115,directorate,117,She,-999,,98,Greceanii,97,Ms,95,Ministry,94,Finance,91,posts,89,held,84,Since,-999,,-999,,Vladimir_Voronin,False,Zinaida_Greceanîi,99,began
112,122,minister,105,deputy,106,head,109,budget,111,elaboration,113,analysis,114,general,115,directorate,117,She,120,department,-999,,99,began,98,Greceanii,97,Ms,95,Ministry,94,Finance,91,posts,89,held,84,Since,-999,,Vladimir_Voronin,False,Zinaida_Greceanîi,102,office
113,125,till,106,head,109,budget,111,elaboration,113,analysis,114,general,115,directorate,117,She,120,department,122,minister,-999,,102,office,99,began,98,Greceanii,97,Ms,95,Ministry,94,Finance,91,posts,89,held,84,Since,Vladimir_Voronin,False,Zinaida_Greceanîi,105,deputy
114,131,presidential,109,budget,111,elaboration,113,analysis,114,general,115,directorate,117,She,120,department,122,minister,125,till,84,Since,105,deputy,102,office,99,began,98,Greceanii,97,Ms,95,Ministry,94,Finance,91,posts,89,held,Vladimir_Voronin,False,Zinaida_Greceanîi,106,head
115,132,decree,111,elaboration,113,analysis,114,general,115,directorate,117,She,120,department,122,minister,125,till,131,presidential,89,held,106,head,105,deputy,102,office,99,began,98,Greceanii,97,Ms,95,Ministry,94,Finance,91,posts,Vladimir_Voronin,False,Zinaida_Greceanîi,109,budget
116,137,deputy,113,analysis,114,general,115,directorate,117,She,120,department,122,minister,125,till,131,presidential,132,decree,91,posts,109,budget,106,head,105,deputy,102,office,99,began,98,Greceanii,97,Ms,95,Ministry,94,Finance,Vladimir_Voronin,False,Zinaida_Greceanîi,111,elaboration
117,138,prime,114,general,115,directorate,117,She,120,department,122,minister,125,till,131,presidential,132,decree,137,deputy,94,Finance,111,elaboration,109,budget,106,head,105,deputy,102,office,99,began,98,Greceanii,97,Ms,95,Ministry,Vladimir_Voronin,False,Zinaida_Greceanîi,113,analysis
118,139,minister,115,directorate,117,She,120,department,122,minister,125,till,131,presidential,132,decree,137,deputy,138,prime,95,Ministry,113,analysis,111,elaboration,109,budget,106,head,105,deputy,102,office,99,began,98,Greceanii,97,Ms,Vladimir_Voronin,False,Zinaida_Greceanîi,114,general
119,-999,,117,She,120,department,122,minister,125,till,131,presidential,132,decree,137,deputy,138,prime,139,minister,97,Ms,114,general,113,analysis,111,elaboration,109,budget,106,head,105,deputy,102,office,99,began,98,Greceanii,Vladimir_Voronin,False,Zinaida_Greceanîi,115,directorate
120,-999,,120,department,122,minister,125,till,131,presidential,132,decree,137,deputy,138,prime,139,minister,-999,,98,Greceanii,115,directorate,114,general,113,analysis,111,elaboration,109,budget,106,head,105,deputy,102,office,99,began,Vladimir_Voronin,False,Zinaida_Greceanîi,117,She
121,-999,,122,minister,125,till,131,presidential,132,decree,137,deputy,138,prime,139,minister,-999,,-999,,99,began,117,She,115,directorate,114,general,113,analysis,111,elaboration,109,budget,106,head,105,deputy,102,office,Vladimir_Voronin,False,Zinaida_Greceanîi,120,department
122,-999,,125,till,131,presidential,132,decree,137,deputy,138,prime,139,minister,-999,,-999,,-999,,102,office,120,department,117,She,115,directorate,114,general,113,analysis,111,elaboration,109,budget,106,head,105,deputy,Vladimir_Voronin,False,Zinaida_Greceanîi,122,minister
123,-999,,131,presidential,132,decree,137,deputy,138,prime,139,minister,-999,,-999,,-999,,-999,,105,deputy,122,minister,120,department,117,She,115,directorate,114,general,113,analysis,111,elaboration,109,budget,106,head,Vladimir_Voronin,False,Zinaida_Greceanîi,125,till
124,-999,,132,decree,137,deputy,138,prime,139,minister,-999,,-999,,-999,,-999,,-999,,106,head,125,till,122,minister,120,department,117,She,115,directorate,114,general,113,analysis,111,elaboration,109,budget,Vladimir_Voronin,False,Zinaida_Greceanîi,131,presidential
125,-999,,137,deputy,138,prime,139,minister,-999,,-999,,-999,,-999,,-999,,-999,,109,budget,131,presidential,125,till,122,minister,120,department,117,She,115,directorate,114,general,113,analysis,111,elaboration,Vladimir_Voronin,False,Zinaida_Greceanîi,132,decree
126,-999,,138,prime,139,minister,-999,,-999,,-999,,-999,,-999,,-999,,-999,,111,elaboration,132,decree,131,presidential,125,till,122,minister,120,department,117,She,115,directorate,114,general,113,analysis,Vladimir_Voronin,False,Zinaida_Greceanîi,137,deputy
127,-999,,139,minister,-999,,-999,,-999,,-999,,-999,,-999,,-999,,-999,,113,analysis,137,deputy,132,decree,131,presidential,125,till,122,minister,120,department,117,She,115,directorate,114,general,Vladimir_Voronin,False,Zinaida_Greceanîi,138,prime
