,agent,relation,patient,uri
224,Gaidar,work,an acting prime minister of russia,"http://en.wikinews.org/wiki/Yegor_Gaidar,_Russian_economist_and_politician,_dies_at_53"
225,reuters states fukuda,win,the prime minister nomination,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
226,slightly larger number of party members,vote,Takeo_Fukuda,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
227,every member,join,decision making,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
228,Takeo_Fukuda,seize,the support,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
229,the areas which have major cities,support,Tarō_Asō,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
230,Liberal_Democratic_Party_(Japan),allow,each branches,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
231,each branches,choose,their preferable decision making way,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
232,Shinzō_Abe,announce,his coming resignation,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
233,his supporters,hold,the prime minister elections,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
234,Tarō_Asō,receive,197 votes,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
235,his supporters,hold,the prime minister elections,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
236,his supporters,guess,the total votes he would get,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
237,Takeo_Fukuda,succeed,Shinzō_Abe,"http://en.wikinews.org/wiki/Yasuo_Fukuda_is_elected_as_LDP_President,_Japan"
238,the actual cause of death,cause,of death,http://en.wikinews.org/wiki/Yasser_Arafat_may_have_had_HIV
239,by the virus,cause,Yasser_Arafat,http://en.wikinews.org/wiki/Yasser_Arafat_may_have_had_HIV
240,Israel,cause,his death,http://en.wikinews.org/wiki/Yasser_Arafat_may_have_had_HIV
241,french officials,explain,the cause of death,http://en.wikinews.org/wiki/Yasser_Arafat_may_have_had_HIV
242,indeed other %2c state leaders,ignore,arafat %27s sexual proclivities,http://en.wikinews.org/wiki/Yasser_Arafat_may_have_had_HIV
243,indeed other %2c state leaders,ignore,arafat %27s sexual proclivities,http://en.wikinews.org/wiki/Yasser_Arafat_may_have_had_HIV
244,french officials,transfer,his medical records,http://en.wikinews.org/wiki/Yasser_Arafat_may_have_had_HIV
245,Boston_Red_Sox,have,to creep closer to the yankees,http://en.wikinews.org/wiki/Yankees_win_3_in_4_game_series_with_Red_Sox
246,the injury-laden yankee pitching staff,allow,one run on three hits,http://en.wikinews.org/wiki/Yankees_win_3_in_4_game_series_with_Red_Sox
247,Johnny_Damon,extend,his league-leading hitting streak,http://en.wikinews.org/wiki/Yankees_win_3_in_4_game_series_with_Red_Sox
248,Boston_Red_Sox,creep,New_York_Yankees,http://en.wikinews.org/wiki/Yankees_win_3_in_4_game_series_with_Red_Sox
249,David_Ortiz,put,a 1%2f2 game,http://en.wikinews.org/wiki/Yankees_win_3_in_4_game_series_with_Red_Sox
250,Boston_Red_Sox,chance,to creep closer to the yankees,http://en.wikinews.org/wiki/Yankees_win_3_in_4_game_series_with_Red_Sox
251,New_York_Yankees,win,Boston_Red_Sox,http://en.wikinews.org/wiki/Yankees_win_3_in_4_game_series_with_Red_Sox
252,saturday %27s,game,of the series,http://en.wikinews.org/wiki/Yankees_win_3_in_4_game_series_with_Red_Sox
253,New_York_Yankees,beat,Boston_Red_Sox,http://en.wikinews.org/wiki/Yankees_win_3_in_4_game_series_with_Red_Sox
254,bases-empty home,run,Tanyon_Sturtze,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
255,Mariano_Rivera,strike,the side to end the game,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
256,the two-run homer,give,their first lead of the game,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
257,David_Ortiz,put,a 1%2f2 game,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
258,New_York_Yankees,sign,former red sox,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
259,"Rodriguez,_Rizal",hit,another splitter that never split,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
260,Boston_Celtics,lose,three straight games,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
261,the bronx bombers,hit,4 homeruns,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
262,New_York_Yankees,win,Boston_Red_Sox,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
263,Mariano_Rivera,record,his 20th save,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
264,New_York_Yankees,mount,a comeback,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
265,New_York_Yankees,beat,Boston_Red_Sox,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
266,Boston_Red_Sox,lead,to a mere 1.5 games,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
267,at the bosox %27 lead,lead,Mike_Mussina,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
268,Wang_Laboratories,start,tonight %27s game,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
269,Brian_Cashman,manager,former red sox,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
270,Sarah_Kerrigan,analyze,to analyze film of opponents,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
271,Wang_Laboratories,game,tonight %27s game,http://en.wikinews.org/wiki/Yankees_power_surge_blacks_out_Sox_relief_in_8-6_win
